sommer--ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	micha-ii-48	lancellotto-ii-48
si sen torne vers vne haute forest.  quil vit haute et espesse  et sen vait au ferir des esperons  et se fiert en la forest  tant quil si anuite. 	Metiose porvna floresta  que vido muy espesa  quanto el cauallo lo pudo lleuar 	si torne a destre partie uers une fourest  quil uoit haute et espesse.  si sen ua au ferir des esperons  et se fiert en la fourest.  et erra tant qͥl anuyta. 	si torne a destre par deuers une forest haute et espesce  et sen ua au ferir des esperons.  Si se fiert en la forest  et erre tantquil li anuitie. 	il tourne uers une forest grande et espesse  si fiert des esperons  et sen entra dedens et cheuaucha  tant que la nuyt uint. 	si torne a destre vers une forest  qu’il voit haute et espesse  et s’en vet al ferir des esperons;  si se fiert en la forest  et eirre  tant qu’il li anuite ; 	si torna a destra partita per diverso una foresta  ch’elli vide alta e spessa,  si vi si mette al fedire delli sproni  e si fiede nello spesso della foresta  e va tanto ch’elli anottò. 
Lors oy vne cloche sonner. 	e el ansi yendo  oyo vna canpana tañer 	Et lors escoute  si ouy sonner une cloche 	et lors escoute  si oit une cloche soner 	Il ouyt une cloche sonner 	et lors escote,  si ot une cloche soner 	AIlora ascolta,  sì ode una campana sonare 
et sot bien tantost  que ce estoit vns hermitages. 	e luego cuido quela tañian en alguna hermita 	si sceit bien tantost que cest hermitage. 	et il seit bien  que cest hermitages 	si pense tantost  que cest ung hermitage. 	et il sot bien tantost  que c’estoit hermitages: 	ed e'sa ben tantosto  che ciò è romitaggio: 
si torne cele part. 	e el fue alla 	si se tourne celle part 	si se torne cele part 	il sen alla celle part 	si s’en torne cele part 	si ritorna in quelle parti 
et descent a luis et apele. 	e desque llego ala hermita llamo fastaque el hermitaño le vino a abrir 	et descent a luys si apelle. 	et descent a luis et apele. 	et puys frappa a luys/ 	et descent a l’uis, 	e discende a l’uscio, 
Et hermites le rechoit a bele chiere. 	e acogiolo  porque vido que hera cauallero andante 	et lermite luy euure 	et li ermites li ouure  et le resoit a mout bele chiere. 	et lermite le rechoit a belle chere 	si apele et li hermites li oevre son huis,  si a le reçoit a bele chiere 	si chiama e l romito gli apre l’uscelletto, si-llo riceve a bella cera 
et le desarme il meismes. 	e el mesmo lo ayudo a desarmar 	et le recoit a belle chiere. 	et le desarme il meismes 	et le desarma 	et le desarme il meismes, 	e l disarmò elli medesimo; 
et puis vait coillir de lerbe pour le cheual 	e desque lo ovo desarmado  cogio dela yerua Parael cauallo 	Ainsi est demoure  Comme boot demoura chex lermite. 	et puis ua cuillir de lerbe  il meismes por le cheual. 	et puys cueillit de lerbe uerte pour le cheual 	puis vet cueillir de l’erbe al cheval 	poscia va a cogliere dell’erba al cavallo lel 
et fait le lit au cheualier,  Nsi est remes bohoors chies le prodomme.  Et la damoisele de Glochedon tcheualche  tant que elle encontre cele de hongrefort.  si sentrefont moult grant ioie.  Si sesmerueille moult cele de glochedon.  quant elle voit sa cousine ensi atornee et toute sa maisnie. 	Ansi finco enla hermita  e la donçella de glaçedon andubo tanto  fastaque encontro ala señora de ongeforte  e ellas se saluaron  e la donzella De glazedon se marauillo mucho  quando vido asi venir asu parienta  e a todas su conpaña 	che tant quelle fu partie de son chastel  et quelle encontra celle boort chex lermite et la damoisele de glossedin cheuaude hunguefort. si sentresaluent.  mais celle de glossedin se merueille moult  quant elle uoit sa cousine si atournee et toute sa mesgniee. 	et por faire lit au cheualier  Ainsi est boh̾ retrais chies lermite.  et la damoisele de glocdon cheuauche  quant ele fu partie de son chastel  tant que ele encontre la damoiselle de honguefort  si sentre saluent.  mais mout ce merueille la damoisele de glocedun  quant ele voit sa cosine si atornee.  et tote sa mainiee ausi. 	et fist le lyt au cheualier.  Insi est boort demoure auec lermite et la damoiselle de glacedon  a tant alle quelle encentra celle de honguesfort/ si sentresalluerent.  Et quant celle de glacedon uoit sa cousine et toute sa mesgnie ainsi atournee 	et por fere lit al chevalier.  Ensi est Boors remés chiés l’ermite,  et la damoisele de Glocedun chevalcha  tant a qu’ele encontra cele de Honguefort;  si s’entresaluent,  mais molt se merveille cele de Glocedun,  quant ele voit sa cosine si atornee et tote sa maisnie: 	per fare el letto del cavaliere.  ilnsi rimase Boordo a casa il romito,  e la damigella di Locidin cavalca tanto  ch’ella fu partita di suo castello  ch’ella trovò quella d’Unguelforte.  Si si trasalutano,  ma molto si maraviglia quella di Glocedin  quand’ella vide sua cugina  si aconcia e tutta sua masnada, 
				elle sen merueille monlt 		
Si li demande locoison. 	e preguntaronle la Razon  porque hera aquello asi 	si luy en demande lachoison. 	Si li a demande lacoison. 	sy lui demande lachoison 	si li demande l’acheison 	si non si può tenere  ch’ella non la domandi la cagione. 
Et elle li conte lauenture de chief en chief 	e la donzella de ongeforte selo conto todo de cabo a cabo  Como le contesçio conel cauallero 	et elle luy comta de chief en chief. 	et cele len conte la uerite de chief en chief 	et celle luy compte toute la uerite 	et cele li conte de chief en chief 	E quella le conta di capo in capo 
Et dist 	e mi buena parienta bien sabed que el es el mas fermoso cauallero 	et dist 	et dit 	et dist 	et dist 	e dice 
que iamais ne finera desrer. 	que nunca vi  e nunca quedare de andar 	que iamais ne finera derrer iucqua 	que iamais ne finera derrer 	que iamaiz ne finera de errer iusques 	que jamés ne finera d’errer 	che giamai non finirà d’andare infino a tanto 
deuant que elle aura troue le cheualier. 	asi fasta quelo falle 	tant quelle ait trouue le cheualier.  et bien sachez fait elle belle cousme 	tant que ele ait le cheualier troue.  et bien sachiez bele cosine 	a tant quelle aura trouue le cheualier/  et sachiez belle cousine 	jusqu’el ait le chevalier trové, «  et bien sachiés, 	ch’ella abbia il cavaliere trovato,  e ben sapiate, bella cugina, 
					fet ele, 	
Car cest li plus biaus et li mieudres  que iou onques veisse.  et si est iouenes enfes 	ca sabed que el es el mejor cauallero Del mundo  e mas cortes  e es muy niño 	que cest le plus bel cheualier et le meilleur  que ie ueisse oncquez mais.  et si est encores ienne enfant. 	que cest li muxdres cheualiers et li plus biax dou monde.  et si est encore iones enfes. 	que cest le plus beau et le meilleur  que ie ueisse on ques et sy est encore ione enfant/ 	bele cosine,  que c’est li plus bials chevaliers et li mieldres  que je onques mes veisse,  et si est encore jovenes enfés; 	che ciò è il più bel cavaliere  e l miglior  ch’io unque vedessi,  si è ancora giovane infante; 
Si ai tel doel  quant il me membre de la vilonnie 	e quando me mienbro dela descortesia e dela villania 	si ay tel deul  quant il me menbre de la uilenie 	Si ai tel duel  quant ie mamenbre de la uilenie 	si ay tel deul  quant il me souuient de la uillanie 	si ai tel duel,  quant il me membre de la vilenie 	sì ò tal duolo qualunche ora mi ricordo della villania 
que iou li fis  que a poi que li cuers ne me part del uentre. 	que contrael fiz el corazon seme quiere quebrar enel cuerpo 	que ie luy feis qua pou que le cuer ne me part ou uentre 	que ie li fis:  ca pou Li cuers ne me part. 	que ie luy feiz  que a pou que le cueur ne me part du uentre. 	que je fis,  qu’a poi que li cuers ne me part el ventre. — 	ch’io gli feci,  ch’a poco che l cuore non mi si sface nel ventre. — 
Enon dieu bele cousine fait cele de glochedon 	Pardios mi buena parienta  dixo la dueña 	Certes belle cousine fait celle de glocedin. 	En non dieu bele cosine fait cele de glocedun. 	Eu nom dieu belle cousine fait celle de glacedon/ 	En non Dieu, bele cosine,  fet cele de Glocedun, 	A nome di Dio, bella cugina, 
sil vous est auenue bele auenture 	de glozendo mucho vos a acasesçido buena ventura 	sil uous aduint belle auanture 	Si uos auint bele auanture: 	sy uous est aduenu belle auanture/ 	s’il vos avint bele aventure, 	s’elli voi avenne bella aventura, 
elle ne mest mie auenue mains bele. 	e ami non a venido menor 	il ne mest pas huy aduenue belle. 	il ne mest pas hui auenue mains bele. 	il ne men est pas aduenue une moins belle. 	il ne m’est pas hui avenue mains bele. » 	e' non m’è oggi passo avenuta men bellab. 
Si li conte  comment il li estoit auenu.  Et li dist 	e luego le conto  como auia acaesçido conel Cauallero 	Si luy compte  tout ainsi comme il luy est aduenu.  et dist 	Si li conte coument  il li est auenu.  et dit 	Sy luy compte tout ainsi  comment il luy estoit aduenu/  et dist 	Si li conte tot ensi com il li estoit avenu  et dist 	i-lle contò tutto insi come l’era avenuto  e disse 
que elle auoit le cheualier herbergie 	que conella albergara 	quelle a herbrege le cheualier. 	que ele a le cheualier herbregre. 	quelle auoit herbegie le cheualier/ 	qu’ele a le chevalier herbergié; « 	ch’ella ha albergato il cavaliere, 
mais bien sachies 	mas bien sabed 	Mais bien sachez fait elle 	et bien sachiez 	et uous dys bien 	mais bien sachiés, 	«ma ben sapiate 
que cest li plus biaus cheualiers del monde. 	que es el mas fermoso cauallero 	que cest le plus bel cheualier 	que cest li plus biax cheualiers  que ie onques ueisse. 	que cest le plus beau cheualier du monde/ 	fet ele,  que c’est li plus bials chevaliers 	ch’egli è el più bel giovane 
et iouenes est il durement.  Si li deuise sa fachon et son grant. 	Que Nunca vi e es muy mançebo  e luego le conto las façiones 	que ie ueisse oncque mais et fort ienne.  si luy deuise sa facon sa grandeͬ et sa mesure 	et iosnes durement.  Si li deuisse sa fason et son grant et sa mesure. 	sy lui deuise sa facon 	que je onques mes veisse et jovenes durement » ;  si li devise sa façon et son grant et sa mesure 	ch’io unque mai vedessi a mi' sciente, si risembra gentile huomo duramente».  Si-lle divisa sua fazione  e suo grande e sua misura 
Tant que a celer de hongrefort samble 	del tanto quela dueña de ongeforte entendio 	tant quil est aduis a celle de hunguefort 	Tant que a cele de honguefort est auis 	tant quil est aduiz a celle de honguesfort 	tant qu’a cele de Honguefort est avis 	tanto che a quella d’Unquelforte est aviso 
que che soit cils  que elle quiert.  Si li est moult tart que elle le voie. 	que hera el cauallero  que ella andaua buscando  e mucho sele tardaua delo ver 	qui cest cil quelle quiert.  si luy tarde moult  quelle ne le uoit. 	que ce est cil  que ele quiert.  si li tarde mout  quele le uoie. 	que cest celuy  quelle quiert/ si luy tarde quelle le uoie 	que c’est cil  qu’ele quiert,  si li tarde molt  qu’ele le voie. 	che ciò è quelli  ch’ella chiede,  si'lle tarda molto  ch’ella il vega. 
Si cheuauchent 	asi fueron ental manera fablando 	Ainsi cheuauchent tant quilz sont uenuz au chastel. 	ainsi cheuauchent 	En telle magniere cheuauchent 	Ensi chevalchent jusqu’al chastel, 	Insi cavalcano tanto 
tant que elles sont uenues au castel 	Que llegaron al castillo  e rresçibieron todos 	si descendent la damoisele moult honnoureement  et moult font grant ioye de luy 	tant que au chastel sont uenues. 	tant quilz sont uenues au chastel  si decendent la damoiselle monlt hounourablement 	si descendent la damoisele molt honorement  et molt font grant joie de li 	ch’al castello sono venuti,  si discendono la damigella molto honoratamente 
			Si dessandent la damoisele de honguesfort mout honorablement. 			
			et mout font grant ioie de li. 			
et puis montent el palais. 	ala donçella de ongeforte muy honrradamente  e fizieron gran gozo conella 	Et lors sont montez ou palays. 	et lors sont montees el palais amont.	et font grant ioye de celle de honguesford.  lors sont mentees au pallaiz 	Et lors sont montees el palés; 	e molto fanno grande gioia di lei.  Allor sono montate nel palagio, 
Si denande la damoisele de laiens ou sez ostes estoit. 	e la donçella del castillo  pregunto luego porsu huesped 	si demande celle de leans  ou est son hoste. 	Si demande cele de laiens ou ses ostes est. 	si demande la damoiselle de leans  ou est son hoste/ 	si demande cele de laiens ou ses ostes est. « 	si domanda quella di Glocedin  ove suo oste est: 
Par foy dame font li cheualier de laiens 	Por buena fee dixeron los caualleros  que auian fincado 	par foy font ces cheualiers 	par foi font cil cheualier il 	deuray dirent les cheualiers de leans 	Par foi,  font si chevalier, 	Per fé, dissono suo' cavalieri, 
il sen va orendroit tous armes hors de chest chastel. 	conel tomo sus armas  e fuese a deportar a aquel montezillo 	il sen uait orendroit tout arme hors de ce chastel. 	sen ua maintenant tous armes fors de cest chastel. 	Il sen ua orendroit tout seul arme hors de ce chastel 	¡l s’en vet orrendroit tos armés fors de cest chastel, 	e' se ne va oraindiritto tutto armato fuori di questo castello, 
mais il nous dist 	mas luego dixo 	mais il nous a dit 	mais il nous dit 	mes il nous dist 	mais il nos dist 	ma e' no disse 
quil reuendroit tantost.  ne onques pour nul pooir ne volt soffrir 	que se vernia  Mas nunca por alguna manera  Podimos 	quil renuiendra tantost. 	que il reuanroit tantost.  ne onques por nul pooir ne uost souffrir 	quil reuendroit tantost/ ne onques ne uolt souffrir 	qu’il revendroit tantost;  n’onques por nul pooir ne volt soffrir 	che ritornerebbe tantosto,  né unque per preghieri non volle soferire 
que nus alast aueques lui.  Et quel part ala il fait elle.  Dame font il vers chest bosket.  Or tost fait elle montes  si ales apres lui  si le me amenes arriere. 	que nos sufriese que fuesemos conel a qual parte fue  dixo la donçella del castillo  aquel montezillo dixeron ellos  e luego mando alos diez caualleros 	Quelle part est il alle fait la dame.  Dame font ilz uers ce boys.  Or montez tost fait elle allez apres et le ramenez 	que nus alast auec lui.  que part sen ua il fait ele  Dame font il uers cest bochet.  Or tost montes illec apres  si le nous ramenez. 	que nul allast auec luy  si a prins sen chemin uers ce bochel.  Or tost dyt la dame montes  sy alles apprez luy  et le ramenes arriere. 	que nus de nos alast avec lui. —  Quel part s’en ala il ?  fet ele. —  Dame,  font il, vers cel boschel. —  Or tost,  fet ele,  montés, alés aprés lui,  si le nos ramenés. » 	che nullo di noi andasse con esso lui.  —elln quale parte se ne va?,  diss’ella. —  Dama, dicono elli,  inverso quello bosco. —  Or tosto, diss’ella,  montate e andate apresso lui,  si l noi rimenate» ll 
LOrs sont monte tout li cheualier 	quelo fuesen alla a buscar 	Lors sont montez tous les dix cheualiers 	Loes sont monte .x. cheualier. 	Lors montent tous les cheualiers 	Lors sont monté li X. chevalier 	Allora sono montati tutti e dieci i cavalieri 
et sont uenu au boskel 	e ellos lo fiçieron ansi 	et uiennent au boys 	et uiennent iuscau bochet 	et uiennent iusques au bochel 	et vienent jusqu’al boschel, 	e vengono Sin qua quel bosco, 
et cerkent amont aual  mais le cheualier  quil quierent ne poent trouuer. 	ca anduuieron todo el mon-teçillo arriba e ayuso  Mas nunca lo pudieron fallar 	si le sercherent amont et aual  mais le cheualier ne peuent ilz pas trouuer 	si le serchent amont et aual.  mais del cheualier ne pueent point trouer. 	et le chercent ament et aual/ 	si le cerchent amont et aval,  mes del chevalier ne pueent riens trover,  si en sont molt irié et dolent 	si 'l cercano a monte e a valle,  ma del cavaliere non possono elli unque trovare. 
Lors reuienent a lor dame  et li dient  que il ne seuent  quil est deuenus.  Enon dieu fait elle  ensi ne remandra il mie  Si monte et toute sa maisnie aueques li. 	e tornaron e contaronselo ansi asu señora  Pordios dixo la donçella  ni poresto no fincara  e luego Caualgo con toda su conpaña  e fuese Al montezillo 	si le mandent a leur dame  quilz ne le peuent trouuer  En nom dieu fait elle anisi ne demeurra il pas.  si monte elle et toute sa mesgniee 	En non dieu fait ele ainsi ne remandra il pas.  si mente ele  et coure sa mainie 	mais ne le peuent trouuer/  Eu nen dieu fait elle  il ne demoura pas ainsy si monte elle et sa mesgnie 	et mandent a lor dame  qu’il ne le pueent trover. «  En non Dieu,  fet ele,  ensi ne remandra il pas. »  Si monte et tote sa maisnie 	eSi ne sono molto adirati e molto crucciati,  e mandano a-llor dama  che nol possono trovare.  “h«A nome di Dio,  diss’ella,  insì non rimarrà e' passo».  Si monta ella e tutta sua masnada, si vi viene 
si com menchent a cerkier le bois de toutes pars 	e fizolo çercar de todas partes 	et commande a sercher le boys de toutes pars  et ilz font son commandement. 	et comande a cenhier le bois de toutes pars.  Et il font son commandement. 	et commencent a chercer le bochel de toutes pars  et prie aulx cheualiers 	et commande a cerchier le bois de totes pars  et il en font son commandement. 	e comanda a cercare il bosco di tutte parti.  sEd e fanno suo comandamento, 
mais che ne lor valut riens  Car il nen pueent oir nulles enseignes vraies. 	mas nunca lo pudieron fallar 	mais tout ce ne leur uault riens  car ilz nen peuent ouyr nul assignement du monde. 	Mais tout ce ne lor uaut rien.  Car il ne pueent trouer nul a lanement dou monde 	quilz le chersacent  mes ce ne leur ualust riens/  car ilz nen porent ouyt nulle uraie enseigne. 	Mais tot ce ne lor valt riens,  kar il n'em puent avoir nul asenement a, 	ma tutto ciò no lle vale nulla,  ch’elli non ne possono ora avere nullo asennamento del mondo. 
Et quant la damoisele voit chou. 	e quando ella aquello vido 	Et quant elle uoit ce 	quant ele uoit ce: 	Quant elle uoit ce 	Quant ele vit ce, 	eE quand’ella vide ciò, 
si sen retorne a son castel dolante et corouchie. 	tornose asu castillo muy triste e muy sañuda 	si sen retourne en son chastel doulente et couroucee 	si en retorne en son chastels 	si sen retoure en son chastel dollente et courroucee/ 	si s’en retorne en son chastel dolente et corociee 	si se ne torna in suo castello dolente e crucciata, 
et conte a cele de hongrefort 	e contolo ansi ala donzella de hongeforte 	Et compte a celle de hunguefort 	et conte a cele de honguefort 	et compte a celle de henguesford 	et conte a cele de Honguefort 	e conta a quella d’Unguelforte 
comment sez ostes sen estoit partis de laiens  Puis demande a chiaus de laiens.  Biau seignor 	Como su huesped hera ydo  e la donzella les pregunto  quando se fue  Pordios buena señora 	comment son hoste sen est alle  et puis demande a ceulx de leans beaux seigneurs 	comment ses ost en est alez.  et puis demande a ciax de laiens oiez signor 	comment son hoste sen est alle puys demande a ceulx de leans.  Beaux seigneurs 	comment ses ostes s’en estoit alez,  puis demande a cels de laiens: «  Bials seignors, 	come suo oste  se n’è andato.  Poscia domanda a que di là entro:  Be' signori, 
et quant se parti il de chaiens.  Dame ce dient cil  si tost comme se il vous en vit aler. 	luego que vos de aqui partistes  Mas dixonos  que luego venia  Por buena fee 	quant party il.  par foy dame font ilz si tost quil uous en uit aller 	quant sen ala il.  Par foi dame  si tost com il uous en uit aler. 	quant sen parti il/  par ma foy si tost  que uous feustes partie/ 	quant s’em parti il —  Par foi,  dame,  font il,  si tost com il vos en vit aler 	e quando se ne parti  elli?-Per fé, dama,  dicono elli,  si tosto come ve ne vide andare, 
et dist  quil reuenroit tantost.  par foy fait elle gabe nous a . 	dixo ella  bien nos a engañado  Que armas traia 	il dist  que il reuendroit tantost.  Certes fait elle uous uous gabez. 	et dit  quil reuandroit tost par foi signor gabe nos A. 	et dist  quil reuendroit tantost.  par ma foy dist la dame il nous a gabes. 	et dist  qu’il revendroit tost. —  Par foi,  fet ele,  gabez nos a. » 	e disse  che riverebbe tosto. —  Per fé, diss’ella,  il vorre giàb. 
ors demande cele de hongrefort  queles armes il portoit.  Et elle li deuise 	dixo la donçella de hongeforte  e la donçella selas deuiso 	Lors demande celle de hunguefort  quelz armes il portoit.  et elle luy deuise. 	Et lors demanda cele de honguefort ques armes il a  et cele li deuise. 	Lors demande celle de honguesford  quelles armes il portoit  et elle luy deuise. 	Lors demanda cele de Honguefort  quels armes il portoit  et ele li devise. « 	sAllor domanda quella d'Unguelforte  che arme elli portava,  e la damigella gliel divisa.  “Al nome di Dio, 
					En non Dieu, 	
Enon dieu fait elle iou le trouuai hui matin a lentree dune forest. 	Pordios dixo ella  yo lo falle oy demañana envna floresta 	Certes fait elle  ie le trouuae huy matin a lentree dune fourest, 	En non dieu fait  Se ioe lencontrai hui matin a lantree dune forest 	Eu nom dieu fait elle ie le trouuay huy matin a lentree de une forest/ 	fet ele,  je te trovai hui matin a l’entree d’une forest, 	diss’ella,  io il trovai ogi mattino all’entrata d’una foresta, 
mais il ne portoit mie tels armes  comme cils  que iou quier Bele cousine fait cele as de laiens. 	mas no traia el tales armas  Como aquel que yo ando buscando  Buena Parienta dixo la donçella del castillo 	mais il ne portoit pas tel escu  comme cil  que ie quier Belle cousine fait celle de leans 	mais il ne portoit mie tel escu.  comme cil que ie quier bele cousine fait cele de Iaiens 	mes il ne portoit mye telles armes come celuy  que ie quiers/ belle cousine fait celle de leans 	mes il ne portoit mie tel escu  com cil que je quier. —  Bele cosine,  fet cele de laiens, 	ma e' non porta mica tale scudo come colui  ch’io cheggio.  —eBella cugina,  disse quella di là entro, 
il lez puet bien auoir cangies. 	el las puede auer bien trocado 	il le puet bien auoir despuis change. 	il le puet bien auoir changie 	il les peult bien auoir changiez 	il le puet bien avoir changié 	elli il potrebbe poscia bene avere cambiato, 
Et iou quit bien a mon escient 	e yo vos digo ami cuidar 	et ie cuide bien a mon cuider 	puis et ie uos di au mien cuidier 	et ie cuide bien a mon aduiz 	et je vos di al mien cuidier 	e vo dico al mio credere 
que che soit cil que vous queres  Si vous pri 	Que este es el que bos buscades 	que cest cil que uous querez.  si uous pry 	que cest ciz  que uus querez.  Si uous pri 	que cest celuy  que uous queres sy uous prie 	que ce est cil  que vos querez :  si vos prie 	che ciò est quelli cu' voi chiedete.  Si vi priego 
que vous me laissies aler aueques vous 	e Ruego vos que me dexedes convos yr 	que me lessez aller o uous 	que uous me laissiez a uos Aler 	que me lessiez aller auecques uous 	que vos me laissiés o vos aler 	che voi mi lasciate con voi andare 
tant que nous laions trouue.  Et lors si nous dira locoison 	fasta Quelo fallemos e sepa la rrazon 	tant que nous layons trouue.  Et lors scauray lachoison 	tant que troue laions  et lors saurai locoson 	tant que laurens trouue. 	tant que trové l’aions  et lors savrai l’acheison 	tanto che trovato l’abiate,  allora saprò io la cagione 
pourcoi il a laissie mon ostel en tel maniere. 	Porque se fue demi castillo ental manera 	pour quoy il a lesse mon houstel a telle heure 	por coi il a laisier mon ostel a tel eure. 		por quoi il laissa mon ostel a tel ore. — 	per ch’egli à mio ostello lasciato a tale ora. — 
Il men est bel fait cele de hongrefort 	Mucho me Plaze dixo la donzella de ongeforte 	Il mest moult bel fait celle de hunguefort 	il met mout bel fait cele de hongefort. 	Il mest monlt bel dyt celle de honguesfort 	Il m’est molt bel,  fet cele de Honguefort, 	E' me n’è molto bello,  disse quella d’Unguelforte, 
que vous y ueignies  puis quil vous plaist.  Ensi remestrent cele nuit laiens.  et lendemain 	Que vengades  Pues vos plaze ansi fincaron toda aquella noche enla mañana tanto 	que uous y uieguez  quant il uous plaist.  Ainsi demeurent la nuyt leans. 	que uous i uangnerez de que il uos plait.  Ainsi remesent laiens la nuit.  et au matin 	que uous uiengnies auec moy  puis quil uous plaist.  ainsi demeurent la nuyt leans.  et au matin 	que vos i viegniés,  puis qu’il vos plest. »  Ensi remistrent la nuit laiens et al matin. 	che vo' vegniate,  da che vo piace».  lnsi rimasono la notte là entro,  e al mattino, 
quant il virent le ior  sen alerent  et partirent del castel. 	Como fue de dia se leuantaron  e fueronse del castillo 	Et au matin si tost quelles uirent le iour se leuerent  et se partirent du chastel. 	si tost comme eles uirent le ior:  se leuerent et se partirent del chastel. 	quant ilz uirent le iour  si sen partirent du chastel 	si tost com eles !  virent le jor,  si leverent et se partirent del chastel 	si tosto com'elle vidono il giorno,  si levarono e si partirono dal castello, 
et entrerent en la queste del cheualier 	enla demanda del buen cauallero 	si entrent en la queste de leur cheualier. 	Si entrent en la quese de lor cheualier 	et entrerent en la queste de leur cheualier. 	et entrerent en la queste de lor chevalier. 	si entrarono nella chesta del loro cavaliere. 
Mais ore laisse li contes a parler daus et de bohort 	Agora dexa el cuento  de fablar dellas e de boores 	Mais or laisse le compte  a parler deulx et de boort. 	mais or laisse li contes a parler atant deles et de behort. 	Or lessons maintenant le compte de boors et des deux dames 	Mais or laisse atant li contes  a parler d’eles et de Boort	Ma or lascia il conto  atanto a parlare di loro e di Boordo 
et retorne a parler de lancelot del lac. 	e torna A Lançarote 	et retourne a parler de lancelot 	et retorne a parler de lancͣ. 	et retourons a parler de lancelot du lac 	et retorne a parler de Lancelot 	e ritorna a parlare di Lancellotto, 
si comme il entra en la forest de la sapine  si comme li contes a deuise. 	Que entro enla floresta Serpentina  Asi como el cuento lo a deuisado 	quant il entra en la fourest de sarponie sicomme le compte a deuise.  Cy fine le comte.  Et parle de lancelot du lac. 	la ou il est entrer en la forest de sarpenic 	le quel est entre en la forest de la sapine.  Comment lancelot emporta le corps de gallehaut  que plusieurs cheualiers gardoient: 	la ou il est entrez en la forest de Sarpenic,  si com li contes a devise ariers. 	là ov’elli est entrato nella foresta di Sapernic,  si come il conto à divisato. 
Ne dist li contes  que trop grant chaut fist celui ior 	Dize el cuento  que gran calentura façia el dia 	Or dit le conte  quil faisoit grant chault le iour 	GRant chaut cedit li contes fist le ior 	et comment il rescouist la seur de meleagant  que len uouloit ardre iiii.xx. xiiii.  Grant chault fist dit le compie le iour 	Or dist li contes  qu’il fist grant chaut le jor 	Gran caldo,  ciò dice il conto,  fece il giorno 
que lancelot fu entres en la forest de la sapine 	que lançarote entro enla floresta 	que lancelot entra en la fourest de serpeme. 	que lanc̃. entra en la foret de sarpenic. 	que lancelot fut entre en la sapinoie 	que Lancelos entra en la forest de Sarpenic 	che Lancellotto entrò nella foresta di Sarpenic, 
Et por chou ne remest il mie 	mas poreso no finco	et pour ce ne demoura il pas 	et por ce ne remest il pas 	et pour ce ne demoura il pas 	et por ce ne remest il mie 	e per ciò e' non rimase passo 
quil ne cheualchast iusques a nonne  Si li auint 	que el no andubiese todo el dia  fasta nona 	quil ne cheuauchast iucqua nonne.  Si luy aduint 	que lanc̃ ne cheuanchast iusques a none.  Si auint 	quil ne cheuauchast iusques a uespres 	qu’il ne chevalchast jusqu’à none;  si li avint 	che non cavalcasse infin qua a nona,  si gli avenne insi 
ensi quil nencontra ne homme ne femme iusques a uespres.  Mais lors sans faille 	que no encontro ome ni muger  mas a hora de visperas sin falta 	quil nencontra homme ne femme iucqua uespres.  mais lors quil deut yssir de la fourest 	quil nancontra home ne fame iuscau uespre.  mais lors sans faille 	sans rencentrer homme ne femme. 	ensi qu’il n’encontra home ne feme jusqu’al vespre;  mais lors sans faille, 	che non incontrò huomo né femina insino a vespero.  ?Ma allora sanza fallo, 
si comme il dut issir de la forest 	quando queria salir dela floresta  que todo el dia le auia durado 	qui tout le iour luy auoit dure 	Si comme il dut issir de la forest 	Sicomme il deust issir dela forest 	si com il dut issir de forest  qui tot le jor li ot duré, 	si come dovea uscire della foresta 
			qui tote ior li ot dure 			
si encontra vne damoisele  qui moult faisoit grant doel.  si cheualchoit vn moult riche palefroy  a vn moult cointe lorain  et a vne sele dengletere 	encontro vna donzella  que mucho façia gran duelo  e andaua envn palafren morçillo  que traia vna muy Rica silla y freno  e el saluo la donçella  e ella ael 	il encontra une damoisele  qui moult faisoit grant deul  et cheuauchoit ung palefroy noir  a moult riche loram et a moult cointe sele de lueure de angleterre 	Si encontra une damoisele  qui mout faissoit grant duel.  et cheuauchoit .i. palefroi noir a mout riche lomin et a mout riche cele de lueure dangeterre. 	il rencontra une damoiselle grant deul  faisant montee sur ung coincte pallefroy. 	encontra une damoisele  qui molt faisoit grant duel  et chevalchoit I. palefroi noir a molt riehe lorain et a molt cointe sele de l'oevre d’Engleterre. 	che tutto giorno gli avea durata,  si incontrò elli una damigella  che molto facea gran duolo,  e cavalcava in uno palafreno nero  a molto ricca sambuca  e a molto bella sella dell’opera d’Inghilterra  e a molto ricco freno,  uno capelletto foderato di zendado in sua testa per lo caldo. 
Il salue la damoisele 	donzella dixo lançarote  deçidme 	Il salue la damoisele 	Il salue la damoisele 	Il salue la damoiselle 	Il salue la damoisele 	E'saluta la damigella 
et elle li rent son salut. 	porque llorades si vos plaze 	et elle aussi luy. 	et ele autresi lui. 	et lui dit. 	et ele lui. « 	ed ella gli rende suo saluto molto cortesemente. 
Damoisele fet il 	çierto dixo la donçella 	Damoisele.  fait il 	Damoisele fait lanc̃ 	Dame dictes moy 	Damoisele,  fet il, 	Damigella,  disse Lancellotto, 
sil vous plaisoit iou sauroie volentiers  pourcoi vous plores. 	si yo supiese  que me vernia  Prouecho enello  yo voslo diria muy de grado 	or me dictes  pour quoy uous plourez. 	car me dites ore  ce il uos plait  que uos auez.  et por coi uus plorez. 	pour quoy uous plourez sil uous plaist 	kar me dites,  s’il vos plest,  por quoi vos plorés. — 	ch’or mi dite ora  perché vo piagnete? — 
