sommer--ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	micha-ii-48	lancellotto-ii-48
pour sauoir  se il troueroit ne pont ne gue. 	Por saber si podria fallar puente 	pour sauoir sil pourroit trouuer ne pont ne gue 	Por sauoir  se il i troueroit ne pont ne gue. 	pour scauoir  sil pouroit trouuer ne pont ne gue par le quel il puisse passer/ 	por savoir s’il i peust trover ne pont ne gué, 	per sapere se potrebbe trovare né ponte né guado, 
mais il ni trueue nul passage.  Et quant il voit chou  si ne set  que faire quar retorner  ne volroit il en nulle maniere. 	Por do pasase  mas el no pudo fallar ninguna  e boores desque esto vido no sabia que se façer  ca el no se queria tomar en ninguna manera 	Mais il ny en treuue point.  Et quant il uoit quil ne puet passer  si ne scet que faire  car retourner ne uouldroit il pas. 	mais il nen i trurue point :  si ne sot que faire  car retorner ne wet il mie 	mes il nen truue point.  Et il uoit ce  si ne scait que faire/  car retourner ne uoulloit pas. 	mais il n’en trueve point  et quant il voit  qu’il n’i passera,  si ne set que fere,  que retorner ne voldroit il mie. 	ma e non ve ne truova punto,  e quand’e vede  che non potrà passare,  si non sa che fare,  ché ritornare non vorebbe elli mica. 
Lors uoit issir del castel vne damoisele toute nue en sa chemise. 	Ansi estando vio del castillo  salir vna donçella en camisa 	Adonc uoit yssir du chastel une damoisele  qui estoit toute nue en sa chemise. 	atant uoit issir une damoisele dou chastel  qui estoit tote nue en sa chemisse 	A tant uoit yssir une damoiselle du chastel  la quelle estoit toute nue en sa chemise/ 	Atant voit issir del chastel une damoisele  qui ert tote nue en sa chemise, 	?Atanto vide uscire una damigella del castello  ch’era tutta ignuda in sua camicia solamente, 
si le menoient. iiij. ribaut moult felenessement 	que traian quatro rribaldos muy sañudamente 	si la menoyent quatre nibaux moult uilainement 	si la menoient. iiii.tre ribaus mout uilment. 	sy la menoient quatre ribaulx monlt felonneusement 	si le menoient troi vilain molt vilainement a 	si-lla menavano iiii. rubaldi molto villanamente 
et tenoit Cascuns en sa main. i. coutel trenchant. 	e cadavno traia enla mano vna lança 	et tenoit ch̃un une hache en sa main. 	et tenoit chascuns une hache en sa main. 	et tenoient chascun en sa main ung coustel trenchant. 	et tenoit chescuns une hache en sa main; 	e tenieno ciascuno una acciaia in sua mano. 
Et elle crioit 	e ella daua vozes 	et elle crioit 	et ele crioit 	Et la damoiselle crioit 	et ele crioit 	Ed ella grida 
quamque elle pooit por chiaus 	quanto podia dar 	tant quelle pouoit crier pour ceulx 	quantque le pooit crier.  por ciax 	tant comme elle pouoit pour la laidure et honte 	quanque ele pooit crier 	quanto  ch’ella può gridare 
qui li faisoient tel laidure. 	e ellos la lleuaron muy desonrrada mente 	qui luy faisoient tel honte et telle laidure 	qui li fasoient tele honte.  et tel laidure 	que telx ribaulx luy faisoient/ 	por els qui li faisoient tel honte et tel laidure 	per coloro  che-lle facieno cotale onta e tal ladiura, 
quar il lenmenoient tot contreual la riuiere batant 	contra la rribera  porla yr ha echar 	qui la uenoient batant tout contreual la riuiere. 	que il la menoient  batant tout contrtual la riuiere 	et la menoient batant contre ual la riuiere. 	qu’il la venoient batant tot contreval la riviere. 	ch’elli la menavano  battendo tutto contravalle la riviera. 
Et quant elle vit le cheualier de lautre part de laigue. 	e quando la donçella vio a bores  dela otra parte del agua 	Et quant la damoisele uoit le cheualier de lautre part de leaue 	t quant la damoisele uoit le cheualier dautre part la riuiere. 	Et quant la damoyselle uoit le cheualier de lautre coste de la ry/ 	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve, 	E quando la damigella vide lo cavaliere dall’altra parte dell’acqua, 
