79|80	uel in appetitu sensiti |uo uel in appetitu intellectiuo 	ou en lapetit sensitif. 	64
81	uelin ipso intellectu 	ou en lapetit intellectif. 	65
82	uel in hiis omnibus uel in aliquibus horum. 	ou en lentendement ou en toutes ces choses |ou en aucunes delles. 	66|67
83|84	In poten ciis autem naturalibus |esse non possunt 	Mais es puissances naturelles ne peust il estre 	68
85	quod tripliciter patet. 	comment appert par trois raisons. 	69
86|87	primo quia ex naturalibus |nec laudamur nec uituperamur. 	Car premierement nous ne sommes louez ne uituperez pour les choses natureles. 	70
88	Nullus enim derr bonus homo 	car nul nest dit bon homme 	71
89|90	ex eo quod habeat bonam digestiuam |uel bonam augmentatiuam. 	pour auoir bonne nutritiue ou bonne augmentatiue. ¶ 	72
91	Secundo in talibus non habent esse h uirtutes. 	Secondement es puissances naturelles ne sont pas les uertuz. 	73
92|93	quia uirtus est aliquid |secundum rationem 	car uertu est une chose selon raison 	74
94	ut potest probari secundo ethicorum. 	come est prouue ou second dethiques.	75
95|96	po ͤaunt naturales scderm |quod huius sunt rationi non obediunt. 	Mais les puissances naturelles considerez en elles mesmes ne obeissent point a raison. 	76
97	Nam siue quis ratiocinetur 		
98|99	siue uelit non propter hoc |per se loquendo potentiae naturales uariantur 	car pour nostre raison ou uolente les puissances naturelles ne uarient en leurs faiz 	77
100|101	in actibus suis |sed semper scderm modum 	mais font lers euures selon leur maniere ¶ 	78
102	sibi possibilem suas actiones efficiunt 		
103|104	Tercio in talibus potenciis |non sunt habitus 	Tiercement en celles puissances ne peust estre uertuz ne autres habiz. 	79
105	et uirtutes 		
106	quia hintus sunt 		
107|108	ad determinandum potencias |ut bene uel male agant 	car les habiz determinent les puissances a faire bien ou mauuaisement. 	80
109|110	ut per habitus uitiosos |determinetur potencia ad agnondum male. 	car par les habiz uicieux la puissance est determinee a faire mauuaisement et par les habiz uertueux a faire bien. 	81
111	per uirtuosos ad agendum bene 	donc puis que ainsi est 	82
112|113	cum igitur natura sit determinata |ad unum 	que nature est determinee a une chose	83
114|115	et potentiae naturales |sufficienter de terminentur 	et que les puissances naturelles sont souffisaument determinees de nature 	84
116|117	ad agendum ex natura sua |secundum eas nec sumus uitio si nec uirtuosi 	a leurs euures faire par elles ne sommes nous uertueux ne uicieux 	85
118	ut hic de uicio et uirtute loquimur 	selon que nous parlon ycy de uertu et de uice 	86
119|120	quare in eis huius uirtutes |esse non possunt. 	car en elles ne peust estre uicez ne uertuz. 	87
121	hiis igitur tribus rationibus 	Et par ses trois raisons 	88
122	per quas probatum est 	par les quelles est prouue 	89
123	huius uirtutes non esse 	que uertuz ne sont pas es puissances natureles. 	90
124	in potenciis naturalibus probari potest 	peust on aussi prouuez 	91
125|126	eas non esse in cognitione sensitiua |siue inpotenciis sensitiuis. 	que les uertuz ne peust estre es puissances sensitiuez cogitiuez 	92
127|128	Nam sicut non laudamur |nec uituperamur ex potenciis naturalibus. 	car aussi comme nous ne sommes louez ne uituperez a cause de puissances natureles 	93
129|130	sic non laudamur |nec uituperamur ex sensibus. 	aussi ne sommes nous a cause des sens corporelz. 	94
131|132	Nam sicut nłles lauda tur |tanquam bonus homo 	Car aussi comme nul nest loue ne tenu bon homme 	95
133|134	ex eo qdum bene digerit |uel bene crescit. 	pour ce que il digere bien ou croist bien. 	96
135|136	sic non laudatur |ex eo quod acute uidet sibitiliter audit 	aussi nest il pour ueoir cler ou pour ouyr subtillement si dauanture 	97
137	nisi forte hoc esset per accidens uel 	ce ne seroit par accident. 	98
138|139	si quis ex super flua commestione |uel ex nimia potatione 	comme si aucun par trop boire ou menger seroit cheu en maladie des yeulx ou en doleur de lestomac 	99
140|141	incrisset obtalmiam oculorum |ne bene uideret 	par quoy il uerroit pas cler 	100
142	uel debilitatem stomachi 	ou digereroit 	101
143|144	ne bene digere ret increparetur |ille non quia male digit 	mal il seroit blasme non pas de mal digerez 	102
145	uel quia non clare uidet 	ou de ne ueoir pas cler. 	103
146|147	et bene digerere per se loquendo |non estin potestate hominis. 	car bien digerez ou ueoir cler nest pas en la puissance de lomme. 	104
148	Secundum increparetur 		
149|150	ex nimio potu |uel ex super fluo cibo. 	mes de auoir trop beu ou menge. 	105
151	Nam erat in potestate sua 	car il estoit en sa puissance 	106
152|153	ut posset |uti potu et cibo moderate 	de user moderement de boire et de menger. ¶ 	107
154	secundo insensibus non est poneda uirtus moralis 	Secondement les uertuz ne peust estre es sens corporelz. 	108
155|156	quia siter pote |ͤ nata᷑les non obediunt rationi. 	car aussi que les puissances natureles ne obeissent pas a raison. 	109
157|158	quia secundum regu lam rationis nullus magis aut minus augetur |uel magis aut mi nus digerit 	car ne peust croistre plus ne moins selon la reigle de raison ne plus ou moins digerez. 	110
159	sic nec sensus obediuntronni. 	et aussi les sens corporelz ne obeissent pas a raison 	111
160	Non enim est in potestate hominis uidere clarius uel minus dare 	car il nest pas en nostre puissance ueoir plus cler ou moins cler. 	112
161|162	quar si uirtus moralis est aliquid scderm rationem |huius uirtus insensibus poni non debet 	pour quoy si uertuz morale est aucune chose selon raisõ elle ne peust estre mise es sens corporelz. ¶ 	113
163	Tercio in talibus non est moralis uirtus. 	Tiercement es sens corporelz ne peust estre uertu morale. 	114
164	quia sicut potentiae naturales sufficienter determinantur 	car aussi cõme les puissances naturelles sont souffisaument determinees a leurs actions par leur nature. 	115
165	ad actiones suas parsuam naturam sic et sensus. 	aussi est le sens corporel. 	116
166	Nam sicut ignis tantum calefacit 	car aussi|comme le feu eschauffe 	117|118
167|168	quantum potest |calefacere pp̃quod 	tant que il peult eschauffez 	119
169|170	quia determinatus in actione sua |nec laudatur 	pour ce que il est determine en son action 	120
171|172	nec uituperatur |nec est in eo uirtus moralis 	il nest loue ne uitupere ne si na en luy nulle uertuz morale. 	121
173|174	sic quia potentia digestiua tantum digerit |qntum potest 	aussi car la puissance digestiue digere 	122
175|176	digere et oculus tantum uidet |quantum potest 	tant que elle peust digerez. 	123
177	uidere in eis uirtus moralis 	et lueil uoit 	124
178	esse non potest. 	tant que il peust ueoir en ces choses 	125
179	Nam per uirtutem moralem 	nest point uertuz morale 	126
180	determinaturpo ͣ ad agendum. 	la puissance est determinee a bien faire. 	127
181	hoc autem sufficienter determinatur 	mais ces choses sont souffisaument determinees par nature 	128
182	ad actiones proprias per naturam. 	a faire leurs propres actions 	129
183	Non igitur m digent 	dont nont il mestier de uertuz morale 	130
184|185	uirtute morali signi necinpotenciis naturalibus |nec in sensibus est uirtus moralis 	et puis que uertuz morale ne peust estre es puissances natureles ne sensitiues. 	131
186	cum preter poͫ nales et sensus non sit 	et en lame na autres puissances 	132
187	nisi intellectus et appetitus intellectiuus et sensitiuus oportet 	fors que lentendement et lapetit intellectuel et sensuel. |Il cõuient 	133|134
188	in talibus est em uirtutes morales	que en ces trois soient les uertuz morales.	135
