98|99	ca alli es demandado el consentimiento de todo el pueblo |para los 	ca todo el pueblo face leyes 	56
100	establesçimientos que han de fazer 		
101|102	ca maguera sienpre llamen ally alguna |potespado algun sennor 	e escoge sennor 	57
103	que gouierne la çibdat. 	que lo juzgue 	58
104	Enpero mas enssennore a todo el pueblo 	e ellos han poder de lo poner 	59
105|106	que aquel que es llamado sennor |por que a todo el pueblo ꝑtenesçe de escoger le 	e de lo tirar 	60
107|108	e de castigar le |si mal feziere. 	e de lo castigar 	61
109|110	Et a todo el pueblo |partenesçe de fazer los establesçimientos 	cuando 	62
111|112	los quales establesçimientos non puede passar el sennor |e por ende en tal prinçipado do enssennore an muchs 	fa.ce por qné, 	63
113	assi commo todo el pueblo 	si tal pueblo governador 	64
114|115	o es entendido el bien de los pobres |e delas perssonas medianeras e de los ricos e de todos comunalmente 	entiende en el bien de los mayores 	65
116|117	segunt su estado |estonçe el prinçipado es derech e ygual. 	e de los menores 	66
118|119	Et por que tal prinçipado non ha nonbre propio |llamalle el philosofo nonbre comun 	e de los ricos 	67
120|121	e diz el poliçia |por que poliçia es 	e de los pobres 	68
122|123	assi commo ordenamiento bueno de çibdat |quanto a todos los prinçipados 	e de todos igualmente e derechamente, 	69
124|125	que son en ella |e prinçipalmente quanto al grant prinçipado 	según sus estados, 	70
126|127	que enssennorea a todos los otros |ca la poliçia esta mayormente 	tal sennorío es dicho policía 	71
128	en el ordenamiento del grant prinçipado 		
129	que es en la çibdat 	e toman el 	72
130	Pues que assi es todo ordenamiento de çibdat 	n.01;1brecomún. porque. |no han nombre especia;!, 	73|74
131|132	puede ser dicħ poliçia. |Enpero el prinçipado del pueblo si derecho es 	ca policia tanto quiere decir 	75
133	por que non ha nonbre comun es dich poliçia 	como buen ordenamiento de cibdad 	76
134	e nos podemos llamar atal prinçipado gouernamiento del pueblo si derecho es. 	e extiéndese a todos los buenos governami.entos. 	77
135	Mas si el pueblo assi 	Mas si el pueblo que así 	78
136	enssennoreante non entiende a bien de todos 	ensennorea no entiende en el bien común, 	79
137	segunt su estado 	mas en el propio, 	80
138	mas quiere tirnizar los ricos 	e quiere tiranizar, |abaxando los mayores, 	81|82
139|140	es dich prinçipado de malos |e en nonbre gniego es dicho democraçia 	tal principado de mal pueblo es dicho en griego democracia 	83
141	mas nos podemos le llamar destruymiento e desordenamiento del pueblo. 	e nos podémosle decir en latín |ma:ldad de pueblo. 	84|85
142|143	Et pues que assi es paresçe |quantos son los prinçipados 	E así paresce cuántos son los sennoríos 	86
144	e quales dellos son buenos e quales malos	e cuáles son buenos |e cuáles son malos.	87|88
