76	que sunt quidam habitus laudabiles 	que sunt qued laudabiles uel erunt 	83
77	uelerunt inpotenciis naturalibus 	in potenciis naturalibus 	84
78|79	uel in ipsis sensibus |uel in appetitu sensiti 	uel in appetitu sensitiuo 	85
80	uo uel in appetitu intellectiuo 	uel in appetitu intellettiuo 	86
81	uelin ipso intellectu 	uel in ipso intellectu 	87
82	uel in hiis omnibus uel in aliquibus horum. 	uel in hiis omnibus uel in aliquibus eorum 	88
83|84	In poten ciis autem naturalibus |esse non possunt 	In potenciis autem naturalibus esse non possunt 	89
85	quod tripliciter patet. 	quod trippliciter patet 	90
86	primo quia ex naturalibus 	Primo quia ex naturalibus non laudamur 	91
87	nec laudamur nec uituperamur. 	neque uituperamur. 	92
88	Nullus enim derr bonus homo 	nullus enim dicitur bonus 	93
89|90	ex eo quod habeat bonam digestiuam |uel bonam augmentatiuam. 	ex eo quod habeat bonam augmentatiuam uel nutritiuam 	94
91	Secundo in talibus non habent esse h uirtutes. 	Secundo in talibus non habent |esse hinoni uirtutes 	95|96
92|93	quia uirtus est aliquid |secundum rationem 	quia uirtus est aliquid ss̃ rationem 	97
94	ut potest probari secundo ethicorum. 	ut potest probari 2 ͦ eth. 	98
95	po ͤaunt naturales scderm 	Potencie autem naturales 	99
96	quod huius sunt rationi non obediunt. 	sz quod huioi sunt rationem non obediunt. 	100
97	Nam siue quis ratiocinetur 	Nam siue quis rontinetur 	101
98	siue uelit non propter hoc 	siue uelit non propter hoc per se lo quendo 	102
99	per se loquendo potentiae naturales uariantur 	potencie naturales uariantur 	103
100	in actibus suis 	in actibus suis 	104
101	sed semper scderm modum 	sz semper sz modum sibi possibilem 	105
102	sibi possibilem suas actiones efficiunt 	suas actiones efficiunt. 	106
103	Tercio in talibus potenciis 	Tercio In talibus potenciis 	107
104|105	non sunt habitus |et uirtutes 	non sunt habitus et uirtutes 	108
106|107	quia hintus sunt |ad determinandum potencias 	quia habitus sunt ad determinandum potencias 	109
108	ut bene uel male agant 	ut bene uel male agant 	110
109	ut per habitus uitiosos 	ut per habitus uiciosos determinatur 	111
110	determinetur potencia ad agnondum male. 	potencia ad agendum male 	112
111	per uirtuosos ad agendum bene 	et per uir tuosos |et ad agendum bene. 	113|114
112	cum igitur natura sit determinata 	Cum igitur natura sit determinata 	115
113	ad unum 	ad unum 	116
114	et potentiae naturales 	et potencie naturales 	117
115|116	sufficienter de terminentur |ad agendum ex natura sua 	sufficienter determinentur ad agendum ex natura sua sy eas 	118
117	secundum eas nec sumus uitio si nec uirtuosi 	nec sumis uirtuosi nec uiciosi 	119
118	ut hic de uicio et uirtute loquimur 	ut hic de uicio et uirtute loqui uidemur 	120
119	quare in eis huius uirtutes 	quare in poten ciis naturalibus huiusmodi uirtutes 	121
120	esse non possunt. 	esse non possunt. 	122
121	hiis igitur tribus rationibus 	Ex hiis igitur tribus rationibus 	123
122	per quas probatum est 	per quas probatum est uirtutes nonesse |in potenciis naturalibus probari 	124|125
123	huius uirtutes non esse 	p̃teas non esse in cognitione sensitiua |siue in potenciis sensituus 	126|127
		Nam sicut non laudamur 	128
124	in potenciis naturalibus probari potest 	nec uituperamur ex potentiis naturalibus probari potest 	129
125	eas non esse in cognitione sensitiua 	eas non esse in cognicione sensitia 	130
126	siue inpotenciis sensitiuis. 	siue in potenciis sen situus. 	131
127	Nam sicut non laudamur 	Nam sicut non laudamur 	132
128	nec uituperamur ex potenciis naturalibus. 	nec ui tuperamur |ex potenciis naturalibus 	133|134
129	sic non laudamur 	Sic non laudatur 	135
130	nec uituperamur ex sensibus. 	quis nec uituperatur ex sensibus 	136
131	Nam sicut nłles lauda tur 	Nam sicut nullus laudatur 	137
132	tanquam bonus homo 	tanquam bonus 	138
133	ex eo qdum bene digerit 	ex eo quod bene digerit 	139
134	uel bene crescit. 	uel bene crescit 	140
135	sic non laudatur 	Sic non laudatur 	141
136	ex eo quod acute uidet sibitiliter audit 	ex eo quod acute uidet |uel subtiliter audit 	142|143
137	nisi forte hoc esset per accidens uel 	nisi forte hoc esset per accidens. 	144
138	si quis ex super flua commestione 	Uel si quis ex superflua comestio 	145
139	uel ex nimia potatione 	ne uel ex nimia potatione incurisset 	146
140	incrisset obtalmiam oculorum 	obtalimam oculorum 	147
141	ne bene uideret 	ne bene uideret 	148
142	uel debilitatem stomachi 	uel debilitatem stomaci 	149
143	ne bene digere ret increparetur 	ne bene digereret intreparetur 	150
144	ille non quia male digit 	ille non quia male digerit 	151
145	uel quia non clare uidet 	uel quia clare non uidet 	152
146	et bene digerere per se loquendo 	quia clare uidere |et bene digerere 	153|154
147	non estin potestate hominis. 	per se loquendo non est in potestate hom̃is. 	155
148|149	Secundum increparetur |ex nimio potu 	Sed intreparetur ex superfluo potu 	156
150	uel ex super fluo cibo. 	uel superfluo cibo. 	157
151	Nam erat in potestate sua 	Nam erat in potestate sua 	158
152|153	ut posset |uti potu et cibo moderate 	ut posset uti cibo et potu moderate: 	159
154	secundo insensibus non est poneda uirtus moralis 	Secundo in sensibus non est ponenda uirtus moralis 	160
155	quia siter pote 	quia sicut potencie naturales 	161
156	ͤ nata᷑les non obediunt rationi. 	non obediunt rationem 	162
157	quia secundum regu lam rationis nullus magis aut minus augetur 	quia sset rlam rationis nullus magis uel nimius augetur 	163
158	uel magis aut mi nus digerit 	uel magis et minus digerit. 	164
159	sic nec sensus obediuntronni. 	sic nec sen sus obediunt racioni. 	165
160	Non enim est in potestate hominis uidere clarius uel minus dare 	Non enim est in potestate hominis |uidere clarius uel minus clare 	166|167
161	quar si uirtus moralis est aliquid scderm rationem 	quare si uirtus moralis est aͥquid 	168
162	huius uirtus insensibus poni non debet 	scilicet rationem huiusmodi uirtus |in sensibus poni non debet. 	169|170
163	Tercio in talibus non est moralis uirtus. 	Tercio in talibus non est uirtus moralis 	171
164	quia sicut potentiae naturales sufficienter determinantur 	quia sic potentie naturales |sufficienter determinantur 	172|173
165	ad actiones suas parsuam naturam sic et sensus. 	ad actiones suas |per suam naturam. 	174|175
		sic et sensus 	176
166	Nam sicut ignis tantum calefacit 	Nam sicut ignis tantum calefacit 	177
167|168	quantum potest |calefacere pp̃quod 	quantum potest calefatere propter quod quia determinatus 	178
169	quia determinatus in actione sua 	in actione sua 	179
170|171	nec laudatur |nec uituperatur 	nec laudatur nec uituperatur 	180
172	nec est in eo uirtus moralis 	nec est in eo uirtus moralis. 	181
173	sic quia potentia digestiua tantum digerit 	Sic quia potentia digestiua tantum digerit 	182
174	qntum potest 	quantum potest 	183
175	digere et oculus tantum uidet 	digerere et oculus uidet 	184
176	quantum potest 	quodtum potest 	185
177	uidere in eis uirtus moralis 	uidere |ineis uirtus moralis esse non part 	186|187
178	esse non potest. 		
179	Nam per uirtutem moralem 	Nam per uirtutem moralem 	188
180	determinaturpo ͣ ad agendum. 	non deter |minatur potencia ad agendum. 	189|190
181	hoc autem sufficienter determinatur 	hec autem sufficienter determantur 	191
182	ad actiones proprias per naturam. 	ad actiones suas per naturam. 	192
183	Non igitur m digent 	non igitur indigent uirtute morali. 	193
184	uirtute morali signi necinpotenciis naturalibus 	Si igitur nec in potenciis naturalibus 	194
185	nec in sensibus est uirtus moralis 	nec in sensibus est uirtus moralis 	195
186	cum preter poͫ nales et sensus non sit 	cum preter potencias et sensus non sit 	196
187	nisi intellectus et appetitus intellectiuus et sensitiuus oportet 	insi intellectus et fens appetitus sensitiuus et intellectiuus oportet 	197
188	in talibus est em uirtutes morales	in talibus esse uirtutes morales	198
