S	Z
por que non ha nonbre comun es dicho poliçia  e nos podemos llamar atal prinçipado gouernamiento del pueblo si derecho es. 	e extiéndese a todos los buenos governamientos. 
Mas si el pueblo assi 	Mas si el pueblo que así 
enssennoreante non entiende a bien de todos 	ensennorea no entiende en el bien común, 
segunt su estado 	mas en el propio, 
mas quiere tiranizar los ricos 	e quiere tiranizar,  abaxando los mayores, 
es dicho prinçipado de malos  e en nonbre griego es dicho democraçia 	tal principado de mal pueblo es dicho en griego democracia 
mas nos podemos le llamar destruymiento e desordenamiento del pueblo. 	e nos podémosle decir en latín maldad de pueblo. 
Et pues que assi es paresçe  quantos son los prinçipados 	E así paresce cuántos son los sennoríos 
e quales dellos son buenos 	e cuáles son buenos 
e quales malos	e cuáles son malos.
